TUBE.ID,PLOT.ID,MONTH,TREATMENT,TOT.COTTON.LOSS,DAMAGE.SCORE
PSU-SGL33-P12-A9,P12,APRIL,6D,0.09,1
PSU-SGL33-P12-A10,P12,APRIL,6D,0.1,2
PSU-SGL33-P12-A11,P12,APRIL,6D,0.13,2
PSU-SGL33-P12-A12,P12,APRIL,6D,0.17,1
PSU-SGL33-P12-B1,P12,APRIL,6D,0.05,1
PSU-SGL33-P12-B2,P12,APRIL,6D,0.06,1
PSU-SGL33-P12-B3,P12,APRIL,6D,0.14,1
PSU-SGL33-P12-B4,P12,APRIL,6D,0.19,1
PSU-SGL33-P12-B5,P12,APRIL,6D,0.2,1
PSU-SGL33-P12-B6,P12,APRIL,6D,0.09,1
PSU-SGL33-P12-B7,P12,APRIL,6D,2.65,1
PSU-SGL33-P12-B8,P12,APRIL,6D,0.07,2
PSU-SGL33-P12-B9,P12,APRIL,6D,0.18,1
PSU-SGL33-P12-B10,P12,APRIL,6D,0.06,1
PSU-SGL33-P12-B11,P12,APRIL,6D,0.17,1
PSU-SGL33-P12-B12,P12,APRIL,6D,0.07,1
PSU-SGL103-P2-A1,P2,APRIL,2D,1.1,2
PSU-SGL103-P2-A2,P2,APRIL,2D,0.87,2
PSU-SGL103-P2-A3,P2,APRIL,2D,1.43,2
PSU-SGL103-P2-A4,P2,APRIL,2D,0.64,3
PSU-SGL103-P2-A5,P2,APRIL,2D,4.39,2
PSU-SGL103-P2-A6,P2,APRIL,2D,1.4,4
PSU-SGL103-P2-A7,P2,APRIL,2D,4.44,5
PSU-SGL103-P2-A8,P2,APRIL,2D,1.12,5
PSU-SGL103-P2-A9,P2,APRIL,2D,4.51,
PSU-SGL103-P2-A10,P2,APRIL,2D,0.94,4
PSU-SGL103-P2-A11,P2,APRIL,2D,0.89,2
PSU-SGL103-P2-A12,P2,APRIL,2D,0.69,3
PSU-SGL103-P2-B1,P2,APRIL,2D,4.5,3
PSU-SGL103-P2-B2,P2,APRIL,2D,4.42,4
PSU-SGL103-P2-B3,P2,APRIL,2D,2.49,3
PSU-SGL103-P2-B4,P2,APRIL,2D,4.36,
PSU-SGL103-P2-B5,P2,APRIL,2D,1.15,4
PSU-SGL103-P2-B6,P2,APRIL,2D,0.92,5
PSU-SGL103-P2-B7,P2,APRIL,2D,0.56,4
PSU-SGL103-P2-B8,P2,APRIL,2D,1.48,1
PSU-SGL103-P2-B9,P2,APRIL,2D,1.06,1
PSU-SGL103-P2-B10,P2,APRIL,2D,1.45,1
PSU-SGL103-P2-B11,P2,APRIL,2D,4.46,
PSU-SGL103-P2-B12,P2,APRIL,2D,4.51,
PSU-SGL103-P3-A1,P3,APRIL,6D,0.24,2
PSU-SGL103-P3-A2,P3,APRIL,6D,0.21,2
PSU-SGL103-P3-A3,P3,APRIL,6D,0.45,2
PSU-SGL103-P3-A4,P3,APRIL,6D,0.23,2
PSU-SGL103-P3-A5,P3,APRIL,6D,0.2,3
PSU-SGL103-P3-A6,P3,APRIL,6D,0.18,3
PSU-SGL103-P3-A7,P3,APRIL,6D,0.09,3
PSU-SGL103-P3-A8,P3,APRIL,6D,4.35,4
PSU-SGL103-P3-A9,P3,APRIL,6D,0.53,2
PSU-SGL103-P3-A10,P3,APRIL,6D,0.14,3
PSU-SGL103-P3-A11,P3,APRIL,6D,0.08,3
PSU-SGL103-P3-A12,P3,APRIL,6D,0.14,4
PSU-SGL103-P3-B1,P3,APRIL,6D,0.48,3
PSU-SGL103-P3-B2,P3,APRIL,6D,0.08,3
PSU-SGL103-P3-B3,P3,APRIL,6D,0.12,2
PSU-SGL103-P3-B4,P3,APRIL,6D,4.6,
PSU-SGL103-P3-B5,P3,APRIL,6D,0.08,3
PSU-SGL103-P3-B6,P3,APRIL,6D,0.29,4
